Number,Category,Description,StartDate,StartTime,EndDate,EndTime
sa,prognosis,work on ui,2023-04-10,00:14:39,s,9.0
nan,nan,nan,2023-04-10,09:37:55,nan,nan
adsdsa,sa,dassad,2023-04-10,09:37:51,s,s
nan,nan,nan,2023-04-10,10:27:50,ds,s
nan,nan,nan,2023-04-10,10:28:12,s,nan
nan,nan,nan,2023-04-10,10:28:17,nan,nan
nan,nan,nan,2023-04-10,10:28:36,nan,nan
nan,nan,nan,2023-04-10,10:28:53,s,sa
nan,nan,nan,nan,10:38:01dsadsa,nan,12:12:53
nan,nan,nan,2023-04-10,10:33:26,nan,s
nan,nan,nan,nan,12:12:53,nan,12:12:53
nan,nan,nan,nan,12:12:53,nan,12:12:53
nan,nan,nan,nan,12:12:53,nan,12:12:53
nan,nan,nan,nan,12:12:53,nan,12:12:53
nan,nan,nan,2023-04-10,10:38:01,s,s
nan,nan,nan,2023-04-10,10:38:01,ss,sss
nan,nan,nan,2023-04-10,sasdad1,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,3,3
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,s,nan,nan,nan
nan,nan,nan,sa,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,junk,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,12:12:53,nan,12:12:47
