Number,Category,Description,StartDate,StartTime,EndDate,EndTime
1,Prognosis,Work on compare different signals,2023-04-12,15:25:01,2023-04-12,15:53:47
2,Prognosis,Work on compare different signals,2023-04-13,11:41:19,2023-04-13,12:51:08
3,Prognosis,delete smooth legend when no smooth is selected,2023-04-13,13:48:14,2023-04-13,13:55:59
4,Prognosis,delete smooth legend when no smooth is selected,2023-04-14,14:20:15,2023-04-14,14:57:11
5,Prognosis,delete smooth legend when no smooth is selected,2023-04-14,15:28:19,2023-04-14,15:58:38
6,Prognosis,delete smooth legend when no smooth is selected,2023-04-14,18:59:46,2023-04-14,19:56:58
7,Prognosis,Bugs with graphs,2023-04-15,08:56:07,2023-04-15,09:03:26
8,Prognosis,fix bug when no data is loaded smooth must be disabled,2023-04-15,09:03:59,2023-04-15,09:33:07
9,Meeting,tech meeting,2023-04-15,09:33:16,2023-04-15,09:48:48
10,Prognosis,select data per each point policy modified to select from the last point,2023-04-15,09:57:25,2023-04-15,10:28:19
11,Prognosis,Anomaly zoom resets after each click,2023-04-15,10:28:32,2023-04-15,11:01:12
12,Prognosis,Lei for experimental data and very little industrial data,2023-04-15,11:01:44,2023-04-15,11:24:22
13,Prognosis,Anomaly Zoom Reset when changing different features,2023-04-15,11:38:46,2023-04-15,11:54:12
14,Prognosis,Anomaly Zoom Reset when changing different features,2023-04-15,14:00:58,2023-04-15,14:06:57
15,Prognosis,"when trying to zoom, it triggers click event on anomaly graph",2023-04-15,14:09:44,2023-04-15,14:29:54
16,Prognosis,Button release cature current zoom state on Anomaly detection,2023-04-15,14:30:16,2023-04-15,14:38:41
17,Prognosis,SVR convergence parameters,2023-04-15,14:40:21,2023-04-15,15:56:15
18,Prognosis,Feature Extraction be disabled on secific feature signals,2023-04-17,08:53:49,2023-04-17,09:41:57
19,Prognosis,Feature Extraction be disabled on secific feature signals,2023-04-17,09:52:35,2023-04-17,10:27:01
20,Prognosis,Feature Extraction be disabled on secific feature signals,2023-04-17,10:45:44,2023-04-17,11:22:46
21,Azimi,Standard on pumps,2023-04-17,12:01:44,2023-04-17,12:07:03
22,Diag,debugging,2023-04-18,06:23:16,2023-04-18,06:52:45
23,Diag,making executable,2023-04-18,06:52:46,2023-04-18,07:16:22
24,Diag,making installer,2023-04-18,07:16:22,2023-04-18,08:42:54
25,Diag,Installation for Mr.Rahbari,2023-04-18,09:32:49,2023-04-18,11:00:00
26,Sarcheshmeh,Study the database,2023-04-18,13:21:54,2023-04-18,14:10:55
27,Meeting,Meet with Dr.Mohammadi and installing Diagnosis software,2023-04-18,14:10:37,2023-04-18,14:40:37
28,Meeting,Technichal meeting on Diagnosis Software,2023-04-18,15:00:39,2023-04-18,16:04:56
29,Diag,Solution for saving last session data,2023-04-18,17:15:51,2023-04-18,18:05:30
30,Diag,Solution for saving last session data,2023-04-19,09:53:03,2023-04-19,10:30:08
31,Azimi,Standard on pumps,2023-04-19,10:50:33,2023-04-19,12:22:57
32,Diag,Solution for saving last session data,2023-04-19,19:18:47,2023-04-19,19:55:41
33,Diag,Solution for saving last session data,2023-04-19,20:08:28,2023-04-19,20:41:17
34,Diag,Solution for saving last session data,2023-04-20,08:17:12,2023-04-20,08:45:03
35,Meeting,Conclusion on saving last session,2023-04-20,14:00:50,2023-04-20,15:05:21
36,Azimi,Standard on pumps,2023-04-20,16:37:17,2023-04-20,16:59:47
37,Azimi,Standard on pumps,2023-04-20,17:20:55,2023-04-20,18:33:04
38,Azimi,Standard on pumps,2023-04-20,18:47:49,2023-04-20,18:54:15
39,Azimi,Standard on pumps,2023-04-20,19:07:50,2023-04-20,20:28:29
40,Azimi,Standard on pumps,2023-04-21,07:18:30,2023-04-21,07:28:23
41,Azimi,Standard on pumps,2023-04-21,07:41:29,2023-04-21,08:02:01
42,Azimi,Standard on pumps,2023-04-21,13:04:03,2023-04-21,14:06:35
43,Azimi,Standard on pumps,2023-04-21,14:40:50,2023-04-21,15:02:15
44,Mes,Study reports of Mr.Fereidooni,2023-04-21,21:45:51,2023-04-21,22:53:19
45,Mes,Study reports of Mr.Fereidooni,2023-04-21,23:36:25,2023-04-21,23:50:23
46,Diag,add last session codes to latest main.py file,2023-04-23,08:45:53,2023-04-23,09:54:16
